ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec 
Le Mans 24 Hours,24 heures du Mans,FRA,11/06/1955,Ivor Bueb,Mike Hawthorn
New Oxford NASCAR,,USA,10/06/1955,NASCAR Grand National,Junior Johnson
Belgian Grand Prix,Grand Prix de Belgique,BEL,05/06/1955,F1 World Championship,Juan Manuel Fangio
Milwaukee Indycars,Rex Mays 100,USA,05/06/1955,AAA National Championship,Johnny Thomson
Indianapolis 500,Indianapolis 500,USA,30/05/1955,AAA National Championship,Bob Sweikert
Davidstow F1,Cornwall MRC Formula 1 Race,GBR,30/05/1955,Non-championship,Leslie Marr
Indianapolis 500,Indianapolis 500,USA,30/05/1955,F1 World Championship,Bob Sweikert
London Trophy,London Trophy,GBR,30/05/1955,Non-championship,Peter Collins
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,29/05/1955,Non-championship,Andre Simon
Winston-Salem NASCAR,,USA,29/05/1955,NASCAR Grand National,Lee Petty
Snetterton F1,Curtis Trophy,GBR,28/05/1955,Non-championship,Roy Salvadori
Raleigh NASCAR,,USA,28/05/1955,NASCAR Grand National,Junior Johnson
Richmond NASCAR,,USA,22/05/1955,NASCAR Grand National,Tim Flock
Monaco Grand Prix,Grand Prix de Monaco et d&#039;Europe,MCO,22/05/1955,F1 World Championship,Maurice Trintignant
Tucson NASCAR,,USA,15/05/1955,NASCAR Grand National,Danny Letner
Martinsville NASCAR,,USA,15/05/1955,NASCAR Grand National,Tim Flock
Naples Grand Prix,Gran Premio di Napoli,ITA,08/05/1955,Non-championship,Alberto Ascari
Phoenix NASCAR,,USA,08/05/1955,NASCAR Grand National,Tim Flock
International Trophy,Daily Express International Trophy,GBR,07/05/1955,Non-championship,Peter Collins
Hickory NASCAR,,USA,07/05/1955,NASCAR Grand National,Junior Johnson
Mille Miglia,Mille Miglia,ITA,01/05/1955,Denis Jenkinson,Stirling Moss
Charlotte NASCAR,,USA,01/05/1955,NASCAR Grand National,Buck Baker
Bordeaux Grand Prix,Grand Prix de Bordeaux,FRA,24/04/1955,Non-championship,Jean Behra
Langhorne NASCAR,,USA,24/04/1955,NASCAR Grand National,Tim Flock
Montgomery NASCAR,,USA,17/04/1955,NASCAR Grand National,Tim Flock
Pau Grand Prix,Grand Prix de Pau,FRA,11/04/1955,Non-championship,Jean Behra
Goodwood F1,Glover Trophy,GBR,11/04/1955,Non-championship,Roy Salvadori
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,03/04/1955,NASCAR Grand National,Buck Baker
Valentino Grand Prix,Gran Premio del Valentino,ITA,27/03/1955,Non-championship,Alberto Ascari
Hillsborough NASCAR,Hillsboro NASCAR,USA,27/03/1955,NASCAR Grand National,Jim Paschal
Columbia NASCAR,Columbia NASCAR,USA,26/03/1955,NASCAR Grand National,Fonty Flock
Sebring 12 Hours,12 Hours of Sebring,USA,13/03/1955,Mike Hawthorn,Phil Walters
Savannah NASCAR,Savannah NASCAR,USA,06/03/1955,NASCAR Grand National,Lee Petty
Daytona NASCAR,Daytona NASCAR,USA,27/02/1955,NASCAR Grand National,Tim Flock
Jacksonville NASCAR,Jacksonville NASCAR,USA,13/02/1955,NASCAR Grand National,Lee Petty
West Palm Beach NASCAR,West Palm Beach NASCAR,USA,06/02/1955,NASCAR Grand National,Herb Thomas
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,30/01/1955,Non-championship,Juan Manuel Fangio
Buenos Aires 1000Kms,1000 km de la Ciudad de Buenos Aires,ARG,23/01/1955,Jose Maria Ibanez,Enrique Saenz Valiente
Argentine Grand Prix,Gran Premio de la Republica Argentina,ARG,16/01/1955,F1 World Championship,Juan Manuel Fangio
New Zealand Grand Prix,New Zealand Grand Prix,NZL,08/01/1955,Non-championship,&quot;B Bira&quot;
Carrera Panamericana,Carrera Panamericana,MEX,19/11/1954,World Sportscar Championship,Umberto Maglioli
Las Vegas Indycars,Silver State Century 100,USA,14/11/1954,AAA National Championship,Jimmy Bryan
Phoenix Indycars,Bobby Ball 100,USA,07/11/1954,AAA National Championship,Jimmy Bryan
High Point NASCAR,High Point NASCAR,USA,07/11/1954,NASCAR Grand National,Lee Petty
Australian Grand Prix,Australian Grand Prix,AUS,07/11/1954,Non-championship,Lex Davison
Macau Grand Prix,Grande Premio de Macau,MAC,31/10/1954,Non-championship,Eddie Carvalho
Spanish Grand Prix,Gran Premio de Espana,ESP,24/10/1954,F1 World Championship,Mike Hawthorn
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,24/10/1954,NASCAR Grand National,Hershel McGriff
Sacramento Indycars,Golden State 100,USA,17/10/1954,AAA National Championship,Jimmy Bryan
Martinsville NASCAR,Martinsville NASCAR,USA,17/10/1954,NASCAR Grand National,Lee Petty
LeHi NASCAR,Mid-South 250,USA,10/10/1954,NASCAR Grand National,Buck Baker
Aintree F1,Daily Telegraph Trophy,GBR,02/10/1954,Non-championship,Stirling Moss
Langhorne NASCAR,Langhorne NASCAR,USA,26/09/1954,NASCAR Grand National,Herb Thomas
Goodwood F1,Goodwood Trophy,GBR,25/09/1954,Non-championship,Stirling Moss
Charlotte NASCAR,Charlotte NASCAR,USA,24/09/1954,NASCAR Grand National,Hershel McGriff
Berlin Grand Prix,Grosser Preis von Berlin,DEU,19/09/1954,Non-championship,Karl Kling
Indiana State Fair Indycars,Hoosier 100,USA,18/09/1954,AAA National Championship,Jimmy Bryan
London Trophy,London Trophy,GBR,18/09/1954,Non-championship,Bob Gerard
Cadours F1,Circuit de Cadours,FRA,12/09/1954,Non-championship,Jean Behra
Macon NASCAR,Macon NASCAR,USA,12/09/1954,NASCAR Grand National,Hershel McGriff
Syracuse Indycars,Syracuse 100,USA,11/09/1954,AAA National Championship,Bob Sweikert
Tourist Trophy (scratch),RAC Tourist Trophy,GBR,11/09/1954,Mike Hawthorn,Maurice Trintignant
Du Quoin Indycars,Ted Horn 100,USA,06/09/1954,AAA National Championship,Sam Hanks
Pikes Peak,Pikes Peak,USA,06/09/1954,AAA National Championship,Keith Andrews
Darlington NASCAR,Southern 500,USA,06/09/1954,NASCAR Grand National,Herb Thomas
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,05/09/1954,F1 World Championship,Juan Manuel Fangio
Milwaukee Indycars,Milwaukee 200,USA,29/08/1954,AAA National Championship,Manuel Ayulo
Corbin NASCAR,Corbin NASCAR,USA,29/08/1954,NASCAR Grand National,Lee Petty
Castle Combe F1,Joe Fry Memorial Trophy,GBR,28/08/1954,Non-championship,&quot;Horace Gould&quot;
San Mateo NASCAR,San Mateo NASCAR,USA,22/08/1954,NASCAR Grand National,Hershel McGriff
Swiss Grand Prix,Grand Prix de Suisse,CHE,22/08/1954,F1 World Championship,Juan Manuel Fangio
Springfield Indycars,Springfield 100,USA,21/08/1954,AAA National Championship,Jimmy Davies
Pescara Grand Prix,Gran Premio di Pescara,ITA,15/08/1954,Non-championship,Luigi Musso
Snetterton F1,Redex Trophy,GBR,14/08/1954,Non-championship,Reg Parnell
Charlotte NASCAR,Charlotte NASCAR,USA,13/08/1954,NASCAR Grand National,Lee Petty
Oulton Park Gold Cup,International Gold Cup,GBR,07/08/1954,Non-championship,Stirling Moss
Crystal Palace F1,August Trophy,GBR,02/08/1954,Non-championship,Reg Parnell
Davidstow F1,Cornwall MRC Formula 1 Race,GBR,02/08/1954,Non-championship,John Coombs
Oakland NASCAR,Oakland NASCAR,USA,01/08/1954,NASCAR Grand National,Danny Letner
German Grand Prix,Grosser Preis von Deutschland und Europa,DEU,01/08/1954,F1 World Championship,Juan Manuel Fangio
Morristown NASCAR,Morristown NASCAR,USA,30/07/1954,NASCAR Grand National,Buck Baker
Caen Grand Prix,Grand Prix de Caen,FRA,25/07/1954,Non-championship,Maurice Trintignant
British Grand Prix,British Grand Prix,GBR,17/07/1954,F1 World Championship,Jose Froilan Gonzalez
Rouen Grand Prix,Grand Prix de Rouen-les-Essarts,FRA,11/07/1954,Non-championship,Maurice Trintignant
Grand Rapids NASCAR,Grand Rapids NASCAR,USA,11/07/1954,NASCAR Grand National,Lee Petty
Willow Springs NASCAR,Willow Springs NASCAR,USA,10/07/1954,NASCAR Grand National,Dick Rathmann
Darlington Indycars,Darlington 200,USA,05/07/1954,AAA National Championship,Manuel Ayulo
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,04/07/1954,F1 World Championship,Juan Manuel Fangio
Weaverville NASCAR,Weaverville NASCAR,USA,04/07/1954,NASCAR Grand National,Herb Thomas
Spartanburg NASCAR,Spartanburg NASCAR,USA,03/07/1954,NASCAR Grand National,Herb Thomas
Williams Grove NASCAR,Williams Grove NASCAR,USA,27/06/1954,NASCAR Grand National,Herb Thomas
Rochester NASCAR,Rochester NASCAR,USA,25/06/1954,NASCAR Grand National,Lee Petty
Belgian Grand Prix,Grand Prix de Belgique,BEL,20/06/1954,F1 World Championship,Juan Manuel Fangio
Langhorne Indycars,Independence Day Sweepstakes 100,USA,20/06/1954,AAA National Championship,Jimmy Bryan
Imola Grand Prix,Gran Premio d&#039;Imola,ITA,20/06/1954,Non-championship,Umberto Maglioli
Crystal Palace F1,Crystal Palace Trophy,GBR,19/06/1954,Non-championship,Reg Parnell
Hickory NASCAR,Hickory NASCAR,USA,19/06/1954,NASCAR Grand National,Herb Thomas
Linden NASCAR,Linden NASCAR,USA,13/06/1954,NASCAR Grand National,Al Keller
Le Mans 24 Hours,24 heures du Mans,FRA,12/06/1954,Jose Froilan Gonzalez,Maurice Trintignant
Goodwood F1,BARC Formula 1 Race,GBR,07/06/1954,Non-championship,Reg Parnell
Davidstow F1,Cornwall MRC Formula 1 Race,GBR,07/06/1954,Non-championship,John Riseley-Prichard
Milwaukee Indycars,Rex Mays 100,USA,06/06/1954,AAA National Championship,Chuck Stevenson
Rome Grand Prix,Gran Premio di Roma,ITA,06/06/1954,Non-championship,Onofre Marimon
Frontiers Grand Prix,Grand Prix des Frontieres,BEL,06/06/1954,Non-championship,&quot;B Bira&quot;
Columbia NASCAR,Columbia NASCAR,USA,06/06/1954,NASCAR Grand National,Curtis Turner
Snetterton F1,Curtis Trophy,GBR,05/06/1954,Non-championship,Roy Salvadori
Indianapolis 500,Indianapolis 500,USA,31/05/1954,AAA National Championship,Bill Vukovich
Indianapolis 500,Indianapolis 500,USA,31/05/1954,F1 World Championship,Bill Vukovich
Charlotte NASCAR,Charlotte NASCAR,USA,30/05/1954,NASCAR Grand National,Buck Baker
Gardena NASCAR,Gardena NASCAR,USA,30/05/1954,NASCAR Grand National,John Soares
Raleigh NASCAR,Raleigh 250,USA,29/05/1954,NASCAR Grand National,Herb Thomas
BARC 200,Daily Telegraph BARC 200,GBR,29/05/1954,Non-championship,Stirling Moss
Sharon NASCAR,Sharon NASCAR,USA,23/05/1954,NASCAR Grand National,Lee Petty
Bari Grand Prix,Gran Premio di Bari,ITA,22/05/1954,Non-championship,Jose Froilan Gonzalez
Martinsville NASCAR,Martinsville NASCAR,USA,16/05/1954,NASCAR Grand National,Jim Paschal
International Trophy,Daily Express International Trophy,GBR,15/05/1954,Non-championship,Jose Froilan Gonzalez
Bordeaux Grand Prix,Grand Prix de Bordeaux,FRA,09/05/1954,Non-championship,Jose Froilan Gonzalez
Wilson County NASCAR,Wilson County NASCAR,USA,09/05/1954,NASCAR Grand National,Buck Baker
Langhorne NASCAR,Langhorne NASCAR,USA,02/05/1954,NASCAR Grand National,Herb Thomas
Mille Miglia,Mille Miglia,ITA,01/05/1954,World Sportscar Championship,Alberto Ascari
Macon NASCAR,Macon NASCAR,USA,25/04/1954,NASCAR Grand National,Gober Sosebee
Pau Grand Prix,Grand Prix de Pau,FRA,19/04/1954,Non-championship,Jean Behra
Goodwood F1,Lavant Cup,GBR,19/04/1954,Non-championship,Reg Parnell
Goodwood F1,Glover Trophy,GBR,19/04/1954,Non-championship,Ken Wharton
Hillsborough NASCAR,Hillsboro NASCAR,USA,18/04/1954,NASCAR Grand National,Herb Thomas
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,11/04/1954,Non-championship,Giuseppe Farina
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,04/04/1954,NASCAR Grand National,Dick Rathmann
Savannah NASCAR,Savannah NASCAR,USA,28/03/1954,NASCAR Grand National,Al Keller
Oakland NASCAR,Oakland NASCAR,USA,28/03/1954,NASCAR Grand National,Dick Rathmann
Atlanta NASCAR,Lakewood Park NASCAR,USA,21/03/1954,NASCAR Grand National,Herb Thomas
Sebring 12 Hours,12 Hours of Sebring,USA,07/03/1954,Bill Lloyd,Stirling Moss
Jacksonville NASCAR,Jacksonville NASCAR,USA,07/03/1954,NASCAR Grand National,Herb Thomas
Daytona NASCAR,Daytona NASCAR,USA,21/02/1954,NASCAR Grand National,Lee Petty
West Palm Beach NASCAR,West Palm Beach NASCAR,USA,07/02/1954,NASCAR Grand National,Herb Thomas
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,31/01/1954,Non-championship,Maurice Trintignant
Buenos Aires 1000Kms,1000 km de la Ciudad de Buenos Aires,ARG,24/01/1954,Giuseppe Farina,Umberto Maglioli
Argentine Grand Prix,Gran Premio de la Republica Argentina,ARG,17/01/1954,F1 World Championship,Juan Manuel Fangio
New Zealand Grand Prix,New Zealand Grand Prix,NZL,09/01/1954,Non-championship,Stan Jones
Australian Grand Prix,Australian Grand Prix,AUS,21/11/1953,Non-championship,Doug Whiteford
Carrera Panamericana,Carrera Panamericana,MEX,19/11/1953,Gino Bronzoni,Juan Manuel Fangio
Phoenix Indycars,Phoenix 100,USA,11/11/1953,AAA National Championship,Tony Bettenhausen
Atlanta NASCAR,Lakewood Park NASCAR,USA,01/11/1953,NASCAR Grand National,Buck Baker
Sacramento Indycars,Golden State 100,USA,25/10/1953,AAA National Championship,Jimmy Bryan
Martinsville NASCAR,Martinsville NASCAR,USA,18/10/1953,NASCAR Grand National,Jim Paschal
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,11/10/1953,NASCAR Grand National,Speedy Thompson
Wilson County NASCAR,Wilson County NASCAR,USA,04/10/1953,NASCAR Grand National,Herb Thomas
Bloomsburg NASCAR,Bloomsburg NASCAR,USA,03/10/1953,NASCAR Grand National,Herb Thomas
Indiana State Fair Indycars,Hoosier 100,USA,26/09/1953,AAA National Championship,Bob Sweikert
Langhorne NASCAR,Langhorne NASCAR,USA,20/09/1953,NASCAR Grand National,Dick Rathmann
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,13/09/1953,F1 World Championship,Juan Manuel Fangio
Skarpnack F1,Skarpnacksloppet,SWE,13/09/1953,Non-championship,Erik Lundgren
Macon NASCAR,Macon NASCAR,USA,13/09/1953,NASCAR Grand National,Speedy Thompson
Syracuse Indycars,Syracuse 100,USA,12/09/1953,AAA National Championship,Tony Bettenhausen
Du Quoin Indycars,Ted Horn 100,USA,07/09/1953,AAA National Championship,Sam Hanks
Pikes Peak,Pikes Peak,USA,07/09/1953,AAA National Championship,Louis Unser
Darlington NASCAR,Southern 500,USA,07/09/1953,NASCAR Grand National,Buck Baker
Tourist Trophy (scratch),RAC Tourist Trophy,GBR,05/09/1953,Peter Collins,Pat Griffith
Milwaukee Indycars,Milwaukee 200,USA,30/08/1953,AAA National Championship,Chuck Stevenson
Nurburgring 1000Kms,Nurburgring 1000 km-Rennen,DEU,30/08/1953,Alberto Ascari,Giuseppe Farina
Hickory NASCAR,Hickory NASCAR,USA,29/08/1953,NASCAR Grand National,Fonty Flock
Swiss Grand Prix,Grand Prix de Suisse,CHE,23/08/1953,F1 World Championship,Alberto Ascari
Norfolk NASCAR,Norfolk NASCAR,USA,23/08/1953,NASCAR Grand National,Herb Thomas
Springfield Indycars,Springfield 100,USA,22/08/1953,AAA National Championship,Sam Hanks
Goodwood 9 Hours,BARC 9 Hours,GBR,22/08/1953,Reg Parnell,Eric Thompson
Weaverville NASCAR,Weaverville NASCAR,USA,16/08/1953,NASCAR Grand National,Fonty Flock
Hillsborough NASCAR,Hillsboro NASCAR,USA,09/08/1953,NASCAR Grand National,Curtis Turner
German Grand Prix,Grosser Preis von Deutschland,DEU,02/08/1953,F1 World Championship,Giuseppe Farina
Davenport NASCAR,Davenport NASCAR,USA,02/08/1953,NASCAR Grand National,Herb Thomas
North Platte NASCAR,North Platte NASCAR,USA,26/07/1953,NASCAR Grand National,Dick Rathmann
Spa 24 Hours,24 heures de Spa-Francorchamps,BEL,25/07/1953,Giuseppe Farina,Mike Hawthorn
Rapid City NASCAR,Rapid City NASCAR,USA,22/07/1953,NASCAR Grand National,Herb Thomas
British Grand Prix,British Grand Prix,GBR,18/07/1953,F1 World Championship,Alberto Ascari
Atlanta NASCAR,Lakewood Park NASCAR,USA,12/07/1953,NASCAR Grand National,Herb Thomas
Morristown NASCAR,Morristown NASCAR,USA,10/07/1953,NASCAR Grand National,Dick Rathmann
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,05/07/1953,F1 World Championship,Mike Hawthorn
Detroit Indycars,Detroit 100,USA,04/07/1953,AAA National Championship,Rodger Ward
Spartanburg NASCAR,Spartanburg NASCAR,USA,04/07/1953,NASCAR Grand National,Lee Petty
Rochester NASCAR,Rochester NASCAR,USA,03/07/1953,NASCAR Grand National,Herb Thomas
Rouen Grand Prix,Grand Prix de Rouen-les-Essarts,FRA,28/06/1953,Non-championship,Giuseppe Farina
Wilson County NASCAR,Wilson County NASCAR,USA,28/06/1953,NASCAR Grand National,Fonty Flock
High Point NASCAR,High Point NASCAR,USA,26/06/1953,NASCAR Grand National,Herb Thomas
Belgian Grand Prix,Grand Prix de Belgique,BEL,21/06/1953,F1 World Championship,Alberto Ascari
Springfield Indycars,Springfield 100,USA,21/06/1953,AAA National Championship,Rodger Ward
Langhorne NASCAR,Langhorne NASCAR,USA,21/06/1953,NASCAR Grand National,Dick Rathmann
Pensacola NASCAR,Pensacola NASCAR,USA,14/06/1953,NASCAR Grand National,Herb Thomas
Le Mans 24 Hours,24 heures du Mans,FRA,13/06/1953,Duncan Hamilton,Tony Rolt
Dutch Grand Prix,Grote Prijs van Nederland,NLD,07/06/1953,F1 World Championship,Alberto Ascari
Milwaukee Indycars,Rex Mays 100,USA,07/06/1953,AAA National Championship,Jack McGrath
Shreveport NASCAR,Shreveport NASCAR,USA,07/06/1953,NASCAR Grand National,Lee Petty
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,31/05/1953,Non-championship,Louis Rosier
Indianapolis 500,Indianapolis 500,USA,30/05/1953,AAA National Championship,Bill Vukovich
Raleigh NASCAR,Raleigh 300,USA,30/05/1953,NASCAR Grand National,Fonty Flock
Indianapolis 500,Indianapolis 500,USA,30/05/1953,F1 World Championship,Bill Vukovich
Columbus NASCAR,Columbus NASCAR,USA,24/05/1953,NASCAR Grand National,Herb Thomas
Martinsville NASCAR,Martinsville NASCAR,USA,17/05/1953,NASCAR Grand National,Lee Petty
Hickory NASCAR,Hickory NASCAR,USA,16/05/1953,NASCAR Grand National,Tim Flock
Helsinki F1,Elaintarha Ajot,FIN,10/05/1953,Non-championship,Rodney Nuckey
Columbia NASCAR,Columbia NASCAR,USA,09/05/1953,NASCAR Grand National,Buck Baker
Langhorne NASCAR,Langhorne NASCAR,USA,03/05/1953,NASCAR Grand National,Buck Baker
Mille Miglia,Mille Miglia,ITA,26/04/1953,Marco Crosara,Giannino Marzotto
Macon NASCAR,Macon NASCAR,USA,26/04/1953,NASCAR Grand National,Dick Rathmann
Richmond NASCAR,Richmond NASCAR,USA,19/04/1953,NASCAR Grand National,Lee Petty
Goodwood F1,Glover Trophy,GBR,06/04/1953,Non-championship,Ken Wharton
Charlotte NASCAR,Charlotte NASCAR,USA,05/04/1953,NASCAR Grand National,Dick Passwater
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,29/03/1953,NASCAR Grand National,Herb Thomas
Sebring 12 Hours,12 Hours of Sebring,USA,08/03/1953,John Fitch,Phil Walters
Spring Lake NASCAR,Spring Lake NASCAR,USA,08/03/1953,NASCAR Grand National,Herb Thomas
Daytona NASCAR,Daytona NASCAR,USA,15/02/1953,NASCAR Grand National,Bill Blair
West Palm Beach NASCAR,West Palm Beach NASCAR,USA,01/02/1953,NASCAR Grand National,Lee Petty
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,01/02/1953,Non-championship,Giuseppe Farina
Argentine Grand Prix,Gran Premio de la Republica Argentina,ARG,18/01/1953,F1 World Championship,Alberto Ascari
West Palm Beach NASCAR,West Palm Beach NASCAR,USA,30/11/1952,NASCAR Grand National,Herb Thomas
Atlanta NASCAR,Lakewood Park NASCAR,USA,16/11/1952,Don Thomas,Herb Thomas
Phoenix Indycars,Phoenix 100,USA,11/11/1952,AAA National Championship,Johnnie Parsons
San Jose Indycars,San Jose 100,USA,02/11/1952,AAA National Championship,Bobby Ball
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,26/10/1952,NASCAR Grand National,Herb Thomas
Martinsville NASCAR,Martinsville NASCAR,USA,19/10/1952,NASCAR Grand National,Herb Thomas
Hillsborough NASCAR,Hillsboro NASCAR,USA,12/10/1952,NASCAR Grand National,Fonty Flock
Denver Indycars,Denver 100,USA,28/09/1952,AAA National Championship,Bill Vukovich
Wilson County NASCAR,Wilson County NASCAR,USA,28/09/1952,NASCAR Grand National,Herb Thomas
Dayton NASCAR,Dayton NASCAR,USA,21/09/1952,NASCAR Grand National,Dick Rathmann
Skarpnack F1,Skarpnacksloppet,SWE,14/09/1952,Non-championship,Gunnar Carlsson
Langhorne NASCAR,Langhorne NASCAR,USA,14/09/1952,NASCAR Grand National,Lee Petty
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,07/09/1952,F1 World Championship,Alberto Ascari
Macon NASCAR,Macon NASCAR,USA,07/09/1952,NASCAR Grand National,Lee Petty
Syracuse Indycars,Syracuse 100,USA,06/09/1952,AAA National Championship,Jack McGrath
Pikes Peak,Pikes Peak,USA,01/09/1952,AAA National Championship,George Hammond
Du Quoin Indycars,Du Quoin 100,USA,01/09/1952,AAA National Championship,Chuck Stevenson
Darlington NASCAR,Southern 500,USA,01/09/1952,NASCAR Grand National,Fonty Flock
Kanonloppet,Kanonloppet,SWE,31/08/1952,Non-championship,Erik Lundgren
Detroit Indycars,Detroit 100,USA,30/08/1952,AAA National Championship,Bill Vukovich
Milwaukee Indycars,Milwaukee 200,USA,24/08/1952,AAA National Championship,Chuck Stevenson
Dutch Grand Prix,Grote Prijs van Nederland,NLD,17/08/1952,F1 World Championship,Alberto Ascari
Weaverville NASCAR,Weaverville NASCAR,USA,17/08/1952,NASCAR Grand National,Bob Flock
Springfield Indycars,Springfield 100,USA,16/08/1952,AAA National Championship,Bill Schindler
Goodwood 9 Hours,News of the World BARC 9 Hours,GBR,16/08/1952,Peter Collins,Pat Griffith
Rochester NASCAR,Rochester NASCAR,USA,15/08/1952,NASCAR Grand National,Tim Flock
German Grand Prix,Grosser Preis von Deutschland,DEU,03/08/1952,F1 World Championship,Alberto Ascari
Boreham F1,Daily Mail Trophy,GBR,02/08/1952,Non-championship,Luigi Villoresi
South Bend NASCAR,South Bend NASCAR,USA,20/07/1952,NASCAR Grand National,Tim Flock
British Grand Prix,British Grand Prix,GBR,19/07/1952,F1 World Championship,Alberto Ascari
Hedemora F1,Hedemoraloppet,SWE,13/07/1952,Non-championship,Erik Lundgren
Morristown NASCAR,Morristown NASCAR,USA,11/07/1952,NASCAR Grand National,Lee Petty
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,06/07/1952,F1 World Championship,Alberto Ascari
Monroe NASCAR,,USA,06/07/1952,NASCAR Grand National,Tim Flock
Raleigh Indycars,Raleigh 200,USA,04/07/1952,AAA National Championship,Troy Ruttman
Owego NASCAR,Owego NASCAR,USA,04/07/1952,NASCAR Grand National,Tim Flock
Niagara Falls NASCAR,Niagara Falls NASCAR,CAN,01/07/1952,NASCAR Grand National,Buddy Shuman
Detroit NASCAR,Motor City 250,USA,29/06/1952,NASCAR Grand National,Tim Flock
Belgian Grand Prix,Grand Prix de Belgique et d&#039;Europe,BEL,22/06/1952,F1 World Championship,Alberto Ascari
Charlotte NASCAR,Charlotte NASCAR,USA,15/06/1952,NASCAR Grand National,Herb Thomas
Le Mans 24 Hours,24 heures du Mans,FRA,14/06/1952,Hermann Lang,Fritz Riess
Milwaukee Indycars,Rex Mays 100,USA,08/06/1952,AAA National Championship,Mike Nazaruk
Hillsborough NASCAR,Hillsboro NASCAR,USA,08/06/1952,NASCAR Grand National,Tim Flock
Ulster Trophy,News of the World Ulster Trophy,GBR,07/06/1952,Non-championship,Piero Taruffi
Albi Grand Prix,Grand Prix d&#039;Albi,FRA,01/06/1952,Non-championship,Louis Rosier
Augusta NASCAR,Augusta NASCAR,USA,01/06/1952,NASCAR Grand National,Gober Sosebee
Toledo NASCAR,Toledo NASCAR,USA,01/06/1952,NASCAR Grand National,Tim Flock
Indianapolis 500,Indianapolis 500,USA,30/05/1952,AAA National Championship,Troy Ruttman
Canfield NASCAR,Poor Man&#039;s 500,USA,30/05/1952,NASCAR Grand National,Herb Thomas
Indianapolis 500,Indianapolis 500,USA,30/05/1952,F1 World Championship,Troy Ruttman
Swiss Grand Prix,Grand Prix de Suisse,CHE,18/05/1952,F1 World Championship,Piero Taruffi
Dayton NASCAR,Dayton NASCAR,USA,18/05/1952,NASCAR Grand National,Dick Rathmann
Helsinki F1,Elaintarha Ajot,FIN,11/05/1952,Non-championship,Roger Laurent
Darlington NASCAR,Darlington NASCAR,USA,10/05/1952,NASCAR Grand National,Dick Rathmann
Langhorne NASCAR,Langhorne NASCAR,USA,04/05/1952,NASCAR Grand National,Dick Rathmann
Macon NASCAR,Macon NASCAR,USA,27/04/1952,NASCAR Grand National,Herb Thomas
Atlanta NASCAR,Lakewood Park NASCAR,USA,20/04/1952,NASCAR Grand National,Bill Blair
Goodwood F1,Richmond Trophy,GBR,14/04/1952,Non-championship,Jose Froilan Gonzalez
Australian Grand Prix,Australian Grand Prix,AUS,14/04/1952,Non-championship,Doug Whiteford
Columbia NASCAR,Columbia NASCAR,USA,12/04/1952,NASCAR Grand National,Buck Baker
Valentino Grand Prix,Gran Premio del Valentino,ITA,06/04/1952,Non-championship,Luigi Villoresi
Martinsville NASCAR,Martinsville NASCAR,USA,06/04/1952,NASCAR Grand National,Dick Rathmann
North Wilkesboro NASCAR,North Wilkesboro NASCAR,USA,30/03/1952,NASCAR Grand National,Herb Thomas
Sebring 12 Hours,12 Hours of Sebring,USA,15/03/1952,Harry Gray,Larry Kulok
Jacksonville NASCAR,Jacksonville NASCAR,USA,06/03/1952,NASCAR Grand National,Marshall Teague
Daytona NASCAR,Daytona NASCAR,USA,10/02/1952,NASCAR Grand National,Marshall Teague
West Palm Beach NASCAR,West Palm Beach NASCAR,USA,20/01/1952,NASCAR Grand National,Tim Flock
Lakeview NASCAR,Lakeview Speedway NASCAR,USA,25/11/1951,NASCAR Grand National,&quot;Frank Mundy&quot;
Bay Meadows Indycars,Bay Meadows 150,USA,11/11/1951,AAA National Championship,Johnnie Parsons
Atlanta NASCAR,Lakewood Park NASCAR,USA,11/11/1951,NASCAR Grand National,Tim Flock
Gardena NASCAR,Gardena NASCAR,USA,11/11/1951,NASCAR Grand National,Bill Norton
Phoenix Indycars,Phoenix 100,USA,04/11/1951,AAA National Championship,Johnnie Parsons
Jacksonville NASCAR,Jacksonville NASCAR,USA,04/11/1951,NASCAR Grand National,Herb Thomas
Hanford NASCAR,Hanford NASCAR,USA,28/10/1951,NASCAR Grand National,Danny Weinberg
Spanish Grand Prix,Gran Premio de Espana,ESP,28/10/1951,F1 World Championship,Juan Manuel Fangio
San Jose Indycars,San Jose 100,USA,21/10/1951,AAA National Championship,Tony Bettenhausen
